ID,movie_title,release_date,inflation_adjusted_gross,Year,IMDb,race,,,,,,,,,
1,Snow White and the Seven Dwarfs,1937,5228953251,1937,7.6,white,,,,,,,,,
2,Pinocchio,1940,2188229052,1940,7.4,white,,,,,,,,,
3,Fantasia,1940,2187090808,1940,7.8,,,,,,,,,,
4,Lady and the Tramp,1955,1236035515,1955,7.3,animals,,,,,,,,,
5,The Absent Minded Professor,1961,310094574,1961,6.8,white,,,,,,,,,
6,Babes in Toyland,1961,124841160,1961,6.3,white,,,,,,,,,
7,The Sword in the Stone,1963,153870834,1963,7.2,white,,,,,,,,,
8,The Jungle Book,1967,789612346,1967,7.6,POC,,,,,,,,,
9,Blackbeard s Ghost,1968,138612686,1968,6.9,white,,,,,,,,,
10,The Aristocats,1970,255161499,1970,7.1,animals,,,,,,,,,
11,Bedknobs and Broomsticks,1971,91305448,1971,7.1,white,,,,,,,,,
12,The Apple Dumpling Gang,1975,131246872,1975,6.5,white,,,,,,,,,
13,The Many Adventures of Winnie the Pooh,1977,0,1977,7.6,animals,,,,,,,,,
14,The Rescuers,1977,159743914,1977,6.9,animals,,,,,,,,,
15,Herbie Goes to Monte Carlo,1977,105847527,1977,5.7,white,,,,,,,,,
16,The Black Hole,1979,120377374,1979,6,white,,,,,,,,,
17,The Fox and the Hound,1981,133118889,1981,7.3,animals,,,,,,,,,
18,Tron,1982,77184895,1982,6.8,white,,,,,,,,,
19,Splash,1984,157057661,1984,6.2,white,,,,,,,,,
20,Return to Oz,1985,25215934,1985,6.7,white,,,,,,,,,
21,The Black Cauldron,1985,50553142,1985,6.4,white,,,,,,,,,
22,The Journey of Natty Gann,1985,22302956,1985,7.1,white,,,,,,,,,
23,One Magic Christmas,1985,31415432,1985,6.5,white,,,,,,,,,
24,The Great Mouse Detective,1986,53637367,1986,7.2,animals,,,,,,,,,
25,Flight of the Navigator,1986,42183197,1986,6.9,white,,,,,,,,,
26,Benji the Hunted,1987,32798382,1987,6.3,animals,,,,,,,,,
27,3 Men and a Baby,1987,353334607,1987,6,white,,,,,,,,,
28,Shoot to Kill,1988,60097074,1988,6.8,mixed,,,,,,,,,
29,Big Business,1988,82352451,1988,6.4,white,,,,,,,,,
30,Who Framed Roger Rabbit,1988,316250084,1988,7.7,white,,,,,,,,,
31,Oliver   Company,1988,102254492,1988,6.7,animals,,,,,,,,,
32,Honey  I Shrunk the Kids,1989,276191669,1989,6.3,white,,,,,,,,,
33,Turner   Hooch,1989,150176361,1989,6.2,white,,,,,,,,,
34,Cheetah,1989,16653473,1989,6,mixed,,,,,,,,,
35,Dick Tracy,1990,207231621,1990,6.1,white,,,,,,,,,
36,The Rescuers Down Under,1990,55796728,1990,6.9,animals,,,,,,,,,
37,3 Men and a Little Lady,1990,143108869,1990,5.4,white,,,,,,,,,
38,The Rocketeer,1991,93256673,1991,6.5,white,,,,,,,,,
39,Newsies,1992,5497481,1992,7,white,,,,,,,,,
40,Sister Act,1992,283583472,1992,6.4,mixed,,,,,,,,,
41,Honey I Blew Up the Kid,1992,119162518,1992,4.8,white,,,,,,,,,
42,1492  Conquest of Paradise,1992,14421454,1992,6.5,white,,,,,,,,,
43,Aladdin,1992,441969178,1992,8,POC,,,,,,,,,
44,The Muppet Christmas Carol,1992,55417615,1992,7.7,,,,,,,,,,
45,Homeward Bound  The Incredible Journey,1993,85182343,1993,6.9,animals,,,,,,,,,
46,The Adventures of Huck Finn,1993,49080505,1993,6.2,white,,,,,,,,,
47,Hocus Pocus,1993,80147079,1993,6.9,white,,,,,,,,,
48,Cool Runnings,1993,140392731,1993,7,POC,,,,,,,,,
49,The Nightmare Before Christmas,1993,100026637,1993,8,,,,,,,,,,
50,Iron Will,1994,42610902,1994,6.6,white,,,,,,,,,
51,Blank Check,1994,63170804,1994,5.3,white,,,,,,,,,
52,Holy Matrimony,1994,1473665,1994,5.1,white,,,,,,,,,
53,The Lion King,1994,761640898,1994,8.5,white,,,,,,,,,
