Artist,Grammy.album.nom
'Angelo And The Vanguar,1
A Far Cry,1
A.R. Rahman,1
"ack Antonoff, Nathan Chapman, Imogen Heap, Max Martin, Mattman & Robin, Ali Payami, Shellback, Taylor Swift, Ryan Tedder & Noel Zancanella, producers; Jack Antonoff, Mattias Bylund, Smith Carlson, Nathan Chapman, Serban Ghenea, John Hanes, Imogen Heap, Sam Holland, Michael Ilbert, Brendan Morawski, Laura Sisk & Ryan Tedder, engineers/mixers; Tom Coyne, mastering enginee",1
Adele,4
"ae Bennett & Bill Charlap, producer",1
Aida Cuevas,1
Aimee Mann,1
Al Franken,1
Alejandro Sanz,3
Alicia Keys,3
Alison Krauss & Union Station,4
"ames Guthrie, surround mix engineer; James Guthrie & Joel Plante, surround mastering engineers; James Guthrie, surround producer (Roger Waters",1
Amy Grant,1
Amy Winehouse,1
André Previn,1
Angelique Kidjo,2
Anne Sofie Von Otter,1
Aphex Twin,1
Arcade Fire,1
Ariana Grande,1
"arlo ""Illangelo"" Montagnese & The Weeknd, producer",1
Arturo O'Farrill & The Afro Latin Jazz Orchestra,1
Arturo O'Farrill & The Afro-Latin Jazz Orchestra,1
Arturo Sandoval,1
Ashanti,1
Ashley Cleveland,1
Audio Adrenaline,2
"aul Avgerinos, produce",1
"ave Becky, Mike Berkowitz & M. Blair Breard, producer",1
"ave Cobb & Chris Stapleton, producer",1
"ave Cobb, produce",1
"aveed Diggs, Renée Elise Goldsberry, Jonathan Groff, Christopher Jackson, Jasmine Cephas Jones, Leslie Odom, Jr., Lin-Manuel Miranda, Okieriete Onaodowan, Anthony Ramos & Phillipa Soo, principal soloists; Lin-Manuel Miranda, composer & lyricist; Alex Lacamoire, Lin-Manuel Miranda, Bill Sherman, Ahmir Thompson & Tarik Trotter, producers; Tim Latham & Derik Lee, engineers (Original Broadway Cast",1
"avid Garcia, Christopher Stevens & Tobymac, producers; Bryan Fowler, engineer/mixe",1
"ax Martin & Shellback, producer",1
B.B. King,5
Bacilos,1
Barack Obama,1
Basement Jaxx,1
Beastie Boys,1
Beau Bridges,1
BeauSoleil,1
Bebo Valdés,2
Bebo Valdés Trio,1
Beck,3
Beenie Man,1
Béla Fleck,5
Béla Fleck & The Flecktones,1
Ben Harper,2
Betty White,1
Beyoncé,2
Big Star,1
Bill Clinton,1
Bill Harley,2
Bill Miller,2
Bill Withers,1
Billie Holiday,1
Billy Childs,1
