Artist,Grammy.song.nom
"'Angelo, Gina Figueroa & Kendra Foster, Songwriters",1
"a Great Big World (Ian Axel & Chad Vaccarino) & Christina Aguilera, Artists",1
Ac/Dc,1
Adele,8
Alabama Shakes,2
Alan Jackson,1
Alan Jackson & Jimmy Buffett,1
Alicia Keys,7
Alicia Keyss,1
Alison Krauss,3
Alison Krauss & Union Station,1
Amy Winehouse,3
Anderson Paak,1
"Ason Isbell, Songwriter",1
Auli'i Cravalho,1
Baha Men,1
Barry White,1
Bb. King & Dr. John,1
beyoncé,6
"Beyoncé & Jay Z, Artists (Beyoncé Featuring Jay z)",1
beyoncé & Luther Vandross,1
beyoncé & Stevie Wonder,1
Black Sabbath,2
"Bono, Adam Clayton, Edge, Larry Mullen Jr), Songwriter (U2",2
"Bono, Adam Clayton, Edge, Larry Mullen Jr), Songwriters (U2",1
"Bono, Adam Clayton, the Edge, Larry Mullen, Jr), Songwriter (U2",1
Brad Paisley,1
Brandi Carlile,2
Britney Spears,1
Bruce Springsteen,5
Bruno Mars,5
"Burt Keyes & Sylvia Robinson, Songwriters",1
Carlos santana & Michelle Branch,1
Carrie Underwood,7
"Carrie Underwood, Artist",1
"Cece Winans; Dwan Hill & Alvin Love Iii, Songwriters",1
Cee Lo Green,1
Cee Lo Green & Melanie Fiona,2
Chamillionaire Featuring Krayzie Bone,1
Chance the Rapper Featuring Lil Wayne & 2 Chainz,1
Cher,1
"Chick Corea, Soloist",2
"Chick Corea, Soloists",1
Childish Gambino,4
Chris Cornell,1
Chris Stapleton,3
"Christian Mcbride, Soloist",1
Christina Aguilera,2
"Christina Aguilera, Lil' Kim, Mya & Pink",1
Clean Bandit Featuring Jess Glynne,1
Coldplay,4
Common Featuring Kanye West,1
Corinne Bailey Rae,1
Creed,1
"d Sheeran & Amy Wadge, Songwriters",1
D'angelo,1
Daft Punk,1
Daft punk featuring Pharrell Williams & Nile Rodgers,2
Damian Marley,1
Dan   Shay,1
Darius Rucker,1
"Dave Grohl, Taylor Hawkins, Rami Jaffee, Nate Mendel, Chris Shiflett & Pat Smear), Songwriters (Foo Fighters",1
Dave Matthews,1
David Bowie,2
Deftones,1
Destiny's Child,1
Dirty Vegas,1
Dixie Chicks,2
Dolly Parton,1
Dr Dre Featuring Eminem,1
Drake,3
Ed Sheeran,2
Ella Mai,1
Eminem,5
"Eminem, Dr Dre & 50 Cent",1
Emmylou Harris,1
"Endrick Duckworth, Kawan Prather, Mark Anthony Spears & Pharrell Williams, Songwriters",1
Erykah Badu Featuring Common,1
Evanescence Featuring Paul Mccoy,1
Faith Hill,2
Fantasia,1
Foo Fighters,4
"Francesca Battistelli, Artist",1
Fun Featuring Janelle Monáe,1
Gary Clark Jr,1
George Jones,1
Ghost,1
Glen Campbell,1
Gnarls Barkley,1
Gorillaz Featuring De La Soul,1
Gotye Featuring Kimbra,2
Green Day,1
Gretchen Wilson,1
He.r. Featuring Daniel Caesar,1
"Herbie Hancock, Pink, Indiaarie, Seal, Konono No 1, Jeff Beck & Oumou Sangare",1
"Herbie Hancock, Soloist",1
High on Fire,1
"Hillary Scott & the Scott Family; Bernie Herms, Hillary Scott & Emily Weisband, Songwriters",1
"Hillsong Worship; Ben Fielding & Brooke Ligertwood, Songwriters",1
Idina Menzel,1
"Illary Lindsey, Lori Mckenna & Liz Rose, Songwriters",1
Imagine Dragons,1
Indiaarie,1
Indiaarie & Dobet Gnahore,1
Iron Maiden,1
"Jack White, Artist",1
James Taylor,1
Jamie Foxx & t-Pain,1
Janet Jackson,1
Jason Isbell and the 400 Unit,1
Jason Mraz,1
Jason Mraz & Colbie Caillat,1
Jay-z,2
Jay-z & Kanye West,2
Jay-z & Swizz Beatz,1
Jay-z & Ti. Featuring Kanye West & Lil Wayne,1
"Jay-z), Robyn Fenty, Kanye West & Ernest Wilson, Songwriters (Athanasios Alatas, Songwriter) (Jay-Z, Rihanna & Kanye West",1
Jill Scott,1
"John Daversa, Soloistregina Carter, Soloistfred Hersch, Soloistbrad Mehldau, Soloistmiguel zenón, Soloist",1
John Legend,3
John Legend & the Roots,1
"John Legend, Joss Stone with Van Hunt",1
John Mayer,5
"John Mclaughlin, Soloist",1
"John Scofield, Soloist",1
Johnny Cash,2
Judas Priest,1
June Carter Cash,1
Justin Timberlake,3
Justin timberlake & Timbaland,1
"Justin Timberlake, Anna Kendrick, Gwen Stefani, James Corden, Zooey Deschanel, Walt Dohrn, Ron Funches, Caroline Hjelt, Aino Jawo, Christopher Mintz-Plasse & Kunal Nayyar",1
Kacey Musgraves,2
Kanye West,4
Kanye West Featuring t-Pain,1
"Kanye West, Rihanna, Kid Cudi & Fergie",1
Keith Urban,4
Kelly Clarkson,1
Kendrick Lamar,5
Kendrick Lamar Featuring Rihanna,1
Kings of Leon,2
"Kirk Franklin; Kirk Franklin, Songwriter",1
Korn,1
Kylie Minogue,1
"Labama Shakes (Zac Cockrell, Heath Fogg, Brittany Howard & Steve Johnson), Songwriters",1
Lady Antebellum,3
Lady Gaga,3
Lady Gaga & Bradley Cooper,2
Lalah Hathaway,2
"Lalah Hathaway, Robert Glasper Experiment (Casey Benjamin, Mark Colenburg, Robert Glasper & Derrick Hodge) & Malcolm-Jamal Warner, Artists",1
"Lauren Daigle; Lauren Daigle, Jason Ingram & Paul Mabury, Songwriterscory Asbury; Cory Asbury, Caleb Culver & Ran Jackson, Songwritersfor King & Country; Ben Glover, Matt Hales, Stephen Blake Kanicka, Seth Mosley, Joel Smallbone, Luke Smallbone & Tedd Tjornhom, Songwritersmercyme Featuring John Reuben; David Garcia, Ben Glover, Mercyme, Solomon Olds & John Reuben, Songwriterstauren Wells; Ethan Hulse, Jordan Sapp & Tauren Wells, Songwriters",1
Lcd Soundsystem,1
Lecrae Featuring for King & Country,1
Lee Ann Womack,1
Lenny Kravitz,3
Leonard Cohen,1
Lil Wayne,1
Lil Wayne Featuring Static Major,1
Linkin Park,1
Little Big Town,3
Lorde,1
Los Lonely Boys,1
Lucinda Williams,1
Ludacris Featuring Pharrell,1
Lupe Fiasco Featuring Jill Scott,1
Luther Vandross,2
Macklemore & Ryan lewis featuring Wanz,1
Macy Gray,1
Mandy Moore & Zachary Levi,1
Maren Morris,1
Mariah Carey,2
Mark Ronson Featuring Bruno Mars,2
Maroon 5,2
Mary j Blige,4
Mastodon,1
Mavis Staples,1
Maxwell,2
Megadeth,1
Metallica,3
Miguel,1
Miranda Lambert,1
"Missy ""Misdemeanor"" Elliott",1
Missy Elliott,2
motörhead,1
Ne-Yo,2
Neil Young,1
Nelly,1
Nelly Furtado,1
"Nelly, p Diddy & Murphy Lee",1
No Doubt,2
Norah Jones,6
"Onnie Lynn, Che Smith & John Stephens, Songwriters",1
Outkast,2
Outkast Featuring Killer Mike,1
Paramore,1
Pentatonix Featuring Dolly Parton,1
Pharrell Williams,1
Pink,1
Pj Morton Featuring Yebba,1
Portugal the Man,1
Prince,2
Rage Against the Machine,1
Ralph Stanley,1
Rascal Flatts,1
Red Hot Chili Peppers,3
Rihanna,1
"Rosanne Cash, Artist",1
Sade,1
Sam Smith,2
Santana,1
santana featuring Everlast,1
santana featuring Rob Thomas,2
Santana Featuring Rob Thomas,1
Sarah Jarosz,1
Sarah Mclachlan,1
Shania Twain,2
Sheryl Crow,3
Silk City & Dua Lipa Featuring Diplo & Mark Ronson,1
Skrillex,1
Skrillex and Diplo with Justin Bieber,1
skrillex featuring Sirah,1
Slayer,2
Slipknot,1
Smokie Norful,1
Snarky Puppy with Lalah Hathaway,1
Solange,1
St Vincent,1
Steely Dan,1
Stevie Wonder,1
Sting,2
Sting & Mary j Blige,1
Sugarland,1
System of a Down,1
"Tamela Mann; Kirk Franklin, Songwriter",1
Taylor Swift,4
"Tenacious d (Jack Black & Kyle Gass), Artists",1
"Terence Blanchard, Soloist",1
"The Band Perry (Kimberly Perry, Neil Perry & Reid Perry), Artists",1
The Black Eyed Peas,4
The Black Keys,2
The Chainsmokers Featuring Daya,1
The Chemical Brothers Featuring q-Tip,1
The Civil Wars,2
The Mars Volta,1
The roots featuring Erykah Badu,1
The Time Jumpers,1
The Weeknd,1
The White Stripes,1
Them Crooked Vultures,1
Ti.,1
Tim Mcgraw,3
Toni Braxton,1
Tony Bennett & Amy Winehouse,1
Tony Bennett & Stevie Wonder,1
Tool,1
"Tori Kelly Featuring Kirk Franklin; Kirk Franklin & Victoria Kelly, Songwritersjekalyn Carr; Allen Carr & Jekalyn Carr, Songwriterskoryn Hawthornejonathan Mcreynolds Featuring Doe; Jonathan Mcreynolds & will Reagan, Songwritersbrian Courtney Wilson; Aaron w Lindsey, Alvin Richardson & Brian Courtney Wilson, Songwriters",1
Train,2
Twenty One Pilots,1
U2,7
Usher,4
Usher& Alicia Keys,1
Velvet Revolver,1
Vince Gill,2
"Wa. Donaldson, Songwriter) (Jay-z & Kanye West",1
"Wayne Shorter, Soloist",1
Whitney Houston,1
Willi.am,1
Wolfmother,1
Zedd Featuring Foxes,1
NA,11
