Artist,number_of_songs,total_times_in_top200,total_streams,race
*NSYNC,1,3,5690510,white
2 Chainz,14,132,275432430,POC
21 Savage,39,323,914888503,POC
22 Savage,1,2,4982496,POC
5 Seconds of Summer,5,79,236805582,white
6ix9ine,17,201,603490610,POC
6LACK,11,97,152933036,POC
88-Keys,1,1,2305016,POC
88rising,1,2,3290170,POC
A Boogie Wit da Hoodie,11,212,653276660,POC
A R I Z O N A,1,10,16184057,white
A$AP Ferg,3,66,188813768,POC
A$AP Mob,4,19,24379761,POC
A$AP Rocky,18,66,169798613,POC
Aaron Carter,1,9,15699807,white
"Ab-Soul, Anderson .Paak, James Blake, Anderson .Paak, James Blake",1,3,6865491,mixed
AC/DC,1,1,1633236,white
Adele,3,21,32224508,white
AJR,2,46,87567898,white
Alan Walker,3,10,15437830,white
Alec Benjamin,1,22,57492712,white
Alessia Cara,4,55,115226073,white
Alesso,1,6,12910222,white
Ali Gatie,1,3,12461962,POC
Alok,1,8,10451498,POC
Aminé,3,80,191637608,POC
Anderson .Paak,3,4,7388461,POC
Andy Grammer,1,1,1569970,white
Andy Williams,2,14,48612648,white
Anita Kerr Singers,1,4,9806714,white
Anitta,1,2,3194972,POC
Anne-Marie,1,19,33807833,white
Anuel AA,2,18,35796230,POC
Arctic Monkeys,1,1,1554780,white
Ariana Grande,33,379,1598012598,white
"Ariana Grande, Victoria Monét, Victoria Monét",1,6,18724171,mixed
Ashley O,1,3,7967881,white
Auli'i Cravalho,1,18,21946103,POC
Ava Max,2,41,103662621,white
Aventura,1,1,1519370,POC
Avicii,10,52,133849370,white
Avril Lavigne,1,2,3261135,white
Axwell /\ Ingrosso,1,20,39111056,white
"Ayo, Teo",1,40,82789520,POC
Bad Bunny,8,85,233557761,POC
Band Aid,1,10,31585488,white
"Bas, J. Cole, J. Cole",1,1,2331390,POC
Bazzi,5,146,427320936,white
Bebe Rexha,6,160,412572559,white
Becky G,2,13,21848506,POC
Belly,2,2,3114901,POC
benny blanco,1,8,23641415,white
"benny blanco, Calvin Harris, Calvin Harris",1,4,8275830,white
"benny blanco, Halsey, Khalid, Halsey, Khalid",1,51,224611615,mixed
"benny blanco, Jesse, Swae Lee, Jesse, Swae Lee",1,1,1808602,mixed
"benny blanco, Juice WRLD feat. Brendon Urie, Juice WRLD",1,20,50309105,mixed
Beyoncé,6,10,18259283,POC
Bhad Bhabie,1,2,3031342,white
Big Sean,23,178,441950182,POC
Big Shaq,1,8,12805280,POC
Billie Eilish,22,402,1289537841,white
"Billie Eilish, Khalid, Khalid",1,41,134930559,mixed
Billy Currington,1,11,14478453,white
Bing Crosby,6,34,78746825,white
blackbear,4,76,152112104,white
BLACKPINK,2,9,22840448,POC
Blake Shelton,1,9,18500011,white
Blanco Brown,1,3,7830259,POC
BlocBoy JB,2,75,327018784,POC
Blueface,2,40,131813076,POC
"Bobby ""Boris"" Pickett",1,2,2751437,white
Bobby Helms,1,9,40855048,white
Brenda Lee,2,14,56489822,white
Brett Eldredge,2,6,14603253,white
Brett Young,2,47,67762764,white
Britney Spears,1,1,2120808,white
BROCKHAMPTON,3,3,5226192,mixed
Bruce Springsteen,1,2,4241437,white
Bruno Mars,4,137,423831249,POC
Bryce Vine,2,20,47953421,POC
Bryson Tiller,18,160,229634989,POC
BTS,24,60,147145059,POC
Burl Ives,2,19,50748280,white
Calboy,1,27,94095909,POC
Calvin Harris,12,106,332630518,white
"Calvin Harris, Dua Lipa, Dua Lipa",1,25,86149059,white
"Calvin Harris, Rag'n'Bone Man, Rag'n'Bone Man",1,7,16303875,white
"Calvin Harris, Sam Smith, Sam Smith",1,11,39467987,white
Camila Cabello,14,163,489182969,POC
Cardi B,16,297,1059689838,POC
Carnage,1,2,4086828,POC
Carpenters,3,4,7153082,white
Cash Cash,2,6,8530215,white
Cashmere Cat,2,15,27274339,white
"Cashmere Cat, Major Lazer, Tory Lanez, Major Lazer, Tory Lanez",1,9,17155701,mixed
Chad Focus,1,1,1172984,POC
Chance the Rapper,14,113,213006887,POC
Charli XCX,2,3,4818138,white
Charlie Puth,5,90,231070547,white
Chase Rice,1,8,12113822,white
Cheat Codes,3,43,81996202,white
"Cheat Codes, Little Mix, Little Mix",1,2,3124823,mixed
Childish Gambino,6,120,382714275,POC
Chris Brown,7,69,138334163,POC
Chris Jeday,1,4,4581956,white
Chris Lane,1,10,15428946,white
Chris Rea,1,2,3204671,white
Chris Stapleton,2,2,2736146,white
Chris Young,1,7,9354337,white
Chucho Flash,1,3,4492514,POC
Chuck Berry,1,11,23937007,POC
City Girls,2,26,56341212,POC
Clean Bandit,4,87,197139114,white
CNCO,1,12,16457825,mixed
Coldplay,3,3,4295159,white
Cole Swindell,1,2,2172625,white
Comethazine,1,19,34032295,POC
DaBaby,3,33,119441877,POC
Daddy Yankee,2,34,72928656,POC
Dan + Shay,3,118,235763390,white
Daniel Caesar,4,13,19235274,POC
Danny Ocean,1,8,9701312,white
Darlene Love,1,1,1898614,POC
"Daryl Hall, John Oates",1,3,6498808,white
David Guetta,6,49,120856066,white
Daya,2,10,16653748,white
Dean Lewis,1,49,119647762,white
Dean Martin,4,16,33162811,white
Demi Lovato,3,81,235375097,mixed
Dennis Lloyd,2,27,62595914,white
Denzel Curry,2,2,3174803,POC
Desiigner,5,43,62039264,POC
Devin Dawson,1,12,17248760,white
Dierks Bentley,1,1,1386169,white
Diplo,4,8,13762718,white
"Diplo, French Montana, Lil Pump, feat. Zhavia Ward, French Montana, Lil Pump,",1,5,10590701,mixed
DJ A1,1,1,3596266,POC
DJ Durel,1,1,1816891,POC
DJ Esco,1,8,11779686,POC
DJ Khaled,18,138,534008748,POC
